url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Oberschoeneweide.12214412.html,2025-08-03T00:00:00,610,12,Oberschöneweide,1,1,0,3
wg-zimmer-in-Berlin-Mariendorf.12155426.html,2025-07-13T00:00:00,380,20,Mariendorf,0,3,0,4
wg-zimmer-in-Berlin-Friedrichshain.6531292.html,2025-08-07T00:00:00,650,15,Friedrichshain,1,1,0,3
wg-zimmer-in-Berlin-Friedrichshain.10690082.html,2025-08-16T00:00:00,999,20,Friedrichshain,1,1,0,3
wg-zimmer-in-Berlin-Adlershof.12208112.html,2025-08-01T00:00:00,530,16,Adlershof,0,1,0,2
wg-zimmer-in-Berlin-Karlshorst.12218621.html,2025-08-15T00:00:00,672,13,Karlshorst,0,1,0,2
wg-zimmer-in-Berlin-Steglitz.8286354.html,2025-08-13T00:00:00,670,25,Steglitz,2,0,0,3
wg-zimmer-in-Berlin-Reinickendorf.10909014.html,2025-08-01T00:00:00,640,13,Reinickendorf,3,0,0,4
wg-zimmer-in-Berlin-Neukoelln.12172769.html,2025-07-25T00:00:00,980,15,Neukölln,1,0,0,2
wg-zimmer-in-Berlin-Tempelhof.12226758.html,2025-08-09T00:00:00,800,22,Tempelhof,0,0,0,4
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.12126045.html,2025-08-13T00:00:00,550,18,Charlottenburg-Wilmersdorf,1,2,0,4
wg-zimmer-in-Berlin-Moabit.11662038.html,2025-08-16T00:00:00,1045,13,Moabit,0,0,0,2
wg-zimmer-in-Berlin-Kreuzberg.12174552.html,2025-07-20T00:00:00,700,18,Kreuzberg,2,0,0,3
wg-zimmer-in-Berlin-Tempelhof.9796952.html,2025-08-07T00:00:00,750,15,Tempelhof,2,1,0,4
wg-zimmer-in-Berlin-Schoeneberg.12246858.html,2025-08-15T00:00:00,595,20,Schöneberg,1,1,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12190257.html,2025-07-25T00:00:00,390,10,Prenzlauer Berg,2,0,0,3
wg-zimmer-in-Berlin-Reinickendorf.10326137.html,2025-06-26T00:00:00,650,14,Reinickendorf,1,0,0,2
wg-zimmer-in-Berlin-Kreuzberg.10948955.html,2025-08-16T00:00:00,350,10,Kreuzberg,1,1,0,3
wg-zimmer-in-Berlin-Friedrichshain.11924748.html,2025-08-16T00:00:00,469,16,Friedrichshain,1,1,0,3
wg-zimmer-in-Berlin-Friedrichshain.9446412.html,2025-08-15T00:00:00,1250,33,Friedrichshain,0,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.5057770.html,2025-08-13T00:00:00,1190,31,Friedrichshain,2,0,0,3
wg-zimmer-in-Berlin-Neukoelln.12136507.html,2025-07-16T00:00:00,750,24,Neukölln,0,1,0,2
wg-zimmer-in-Berlin-Neukoelln.12248381.html,2025-08-16T00:00:00,700,22,Neukölln,1,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.12238597.html,2025-08-13T00:00:00,750,28,Friedrichshain,0,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.12238341.html,2025-08-15T00:00:00,830,24,Friedrichshain,1,1,0,3
wg-zimmer-in-Berlin-Adlershof.12085114.html,2025-08-16T00:00:00,450,7,Adlershof,0,0,0,3
wg-zimmer-in-Berlin-Kreuzberg.11461866.html,2025-06-17T00:00:00,600,15,Kreuzberg,3,1,0,5
wg-zimmer-in-Berlin-Gesundbrunnen.8901155.html,2025-08-05T00:00:00,390,15,Gesundbrunnen,0,1,0,2
wg-zimmer-in-Berlin-Kreuzberg.12181899.html,2025-07-22T00:00:00,650,22,Kreuzberg,1,1,0,3
wg-zimmer-in-Berlin-Pankow.5181654.html,2025-07-20T00:00:00,600,15,Pankow,1,0,0,3
wg-zimmer-in-Berlin-Charlottenburg.12149215.html,2025-07-10T00:00:00,715,16,Charlottenburg,0,0,0,2
wg-zimmer-in-Berlin-Karlshorst.10203327.html,2025-08-01T00:00:00,500,12,Karlshorst,3,0,0,4
wg-zimmer-in-Berlin-Moabit.10253420.html,2025-08-16T00:00:00,650,16,Moabit,0,1,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.12118777.html,2025-06-29T00:00:00,950,23,Prenzlauer Berg,0,1,0,2
wg-zimmer-in-Berlin-Friedrichshain.12235744.html,2025-08-16T00:00:00,1090,14,Friedrichshain,0,0,0,2
wg-zimmer-in-Berlin-Reinickendorf.12196102.html,2025-08-01T00:00:00,500,14,Reinickendorf,0,1,0,2
wg-zimmer-in-Berlin-Mitte.12197394.html,2025-07-31T00:00:00,600,17,Mitte,1,0,0,2
wg-zimmer-in-Berlin-Pankow.12228902.html,2025-08-08T00:00:00,550,16,Pankow,1,1,0,3
